X1	Demo_A1	Demo_A2	Demo_A3	Demo_B1	Demo_B2	Demo_B3	Demo_C1	Demo_C2	Demo_C3	Demo_D1	Demo_D2	Demo_D3
Gene1	270	193	143	270	83	75	84	93	6	8	7	16
Gene2	2	3	2	2	1	4	11	11	94	54	229	104
Gene3	10	9	11	10	6	8	7	16	217	250	69	227
Gene4	82	84	64	82	94	54	229	104	16	7	53	26
Gene5	55	30	52	55	217	250	69	227	25	10	57	35
Gene6	108	45	34	108	16	7	53	26	1	3	3	11
Gene7	28	26	18	28	25	10	57	35	1	0	0	11
Gene8	6	4	4	6	1	3	3	11	4	1	3	14
Gene9	27	32	15	27	1	0	0	11	1	0	0	11
Gene10	8	6	7	8	4	1	3	14	7	7	12	17
Gene11	88	117	41	88	1	0	0	11	0	0	0	10
Gene12	5	5	1	5	7	7	12	17	0	0	0	10
Gene13	9	9	14	9	0	0	0	10	6	4	4	16
Gene14	105	98	71	105	0	0	0	10	4	5	14	14
Gene15	6	3	1	6	6	4	4	16	47	51	12	57
Gene16	69	105	40	69	4	5	14	14	0	0	10	12
Gene17	44	46	36	44	47	51	12	57	1	5	12	11
Gene18	7	2	6	7	0	0	10	12	28	91	42	183
Gene19	7	7	8	7	1	5	12	11	91	69	142	21
Gene20	372	258	181	372	28	91	42	183	126	94	144	34
Gene21	9	8	0	9	5	4	18	18	8	2	9	0
Gene22	1	1	1	1	5	4	16	43	14	12	20	0
Gene23	7	5	1	7	109	54	46	11	20	11	18	125
Gene24	5	6	1	5	1	10	10	13	17	22	20	39
Gene25	6	6	9	6	4	13	12	14	5	10	5	17
Gene26	26	21	9	26	25	89	73	11	363	247	472	604
Gene27	142	91	69	142	21	35	34	92	342	233	484	268
Gene28	144	126	94	144	34	35	36	13	19	20	20	2
Gene29	9	8	2	9	0	10	10	13	26	12	23	0
Gene30	20	14	12	20	0	17	17	28	9	5	5	7
Gene31	18	20	11	18	125	129	109	10	6	8	10	0
Gene32	20	17	22	20	39	46	47	58	58	22	29	4
Gene33	5	5	10	5	17	27	36	29	29	44	10	54
Gene34	472	363	247	472	604	605	21	22	22	17	16	10
Gene35	484	342	233	484	268	309	241	31	31	37	29	13
Gene36	20	19	20	20	2	1	4	21	21	0	10	89
Gene37	23	26	12	23	0	0	1	74	74	17	16	35
Gene38	5	9	5	5	7	1	13	16	16	27	82	35
Gene39	10	6	8	10	0	0	0	224	224	605	76	10
Gene40	6	2	2	6	2	1	5	28	28	22	47	17
Gene41	137	16	26	137	27	36	91	37	37	44	36	129
